,col_0,col_1,col_2,col_0_eng,col_1_eng,col_2_eng
0,Gauntlet,Vær så snill,Buenos días,Gauntlet,Please,Good Morning
1,Moped,Unnskyld meg,Buenas tardes,Moped,Excuse me,Good afternoon
2,Ombudsman,Hallo,Buenas noches,Ombudsman,Hello,Good night
3,Smorgasbord,Ha det,¿Cómo te llamas? ,Smorgasbord,Good bye,What is your name?
4,God kväll ,Vær så god,Mucho gusto ,Good evening,You're welcome,Pleasure
5,God natt ,Unnskyld meg,¿Cómo estás?,Good night,Excuse me,How are you?
6,Tack (så mycket),Hvordan sier man dette på norsk?,Yo no comprendo,Thanks so much),How do you say this in Norwegian?,I do not understand
7,"Nej, inte alls.",Hvor mye koster billetten?,"Por favor, habla más despacio ",No not at all.,How much does the ticket cost?,Please speak more slowly
8,"Ja, lite grann.",Flyplass,Te extraño ,Yes some.,Airport,Miss you
9,Jag älskar dig.,Jernbanestasjon,Te quiero ,I love you.,Railway station,I love u
10,Jag saknar dig.,Bonjour,What do you think?,I miss you.,Hello,What do you think?
11,Goddag,Au revoir ,That sounds great.,Good day,Goodbye,That sounds great.
12,Hej,Merci,Excuse,Hello,Thank you,Excuse
13,Farvel,Je vous en prie,appreciate,Goodbye,You're welcome,appreciate
14,Undskyld,Mademoiselle,Empty_Field,Pardon,Miss,Empty_Field
15,Hvad hedder du?,Madame,Empty_Field,What's your name?,Madame,Empty_Field
16,Hvorfra kommer du? ,Comment vous appelez-vous?,Empty_Field,Where are you from?,What is your name?,Empty_Field
17,Jeg kommer fre de Forenede Stater.,Combien ça coûte?,Empty_Field,I'm coming to the United States.,How much does it cost?,Empty_Field
18,Hvor gammel er du?,Quelle heure est-il?,Empty_Field,How old are you?,What time is it?,Empty_Field
19,Hvor meget koster? ,Pouvez-vous m’aider?,Empty_Field,How much cost?,Can you help me?,Empty_Field
