Gauntlet,Vær så snill,Buenos días
Moped,Unnskyld meg,Buenas tardes
Ombudsman,Hallo,Buenas noches
Smorgasbord,Ha det,¿Cómo te llamas? 
God kväll ,Vær så god,Mucho gusto 
God natt ,Unnskyld meg,¿Cómo estás?
Tack (så mycket),Hvordan sier man dette på norsk?,Yo no comprendo
"Nej, inte alls.",Hvor mye koster billetten?,"Por favor, habla más despacio "
"Ja, lite grann.",Flyplass,Te extraño 
Jag älskar dig.,Jernbanestasjon,Te quiero 
Jag saknar dig.,Bonjour,What do you think?
Goddag,Au revoir ,That sounds great.
Hej,Merci,Excuse
Farvel,Je vous en prie,appreciate
Undskyld,Mademoiselle,
Hvad hedder du?,Madame,
Hvorfra kommer du? ,Comment vous appelez-vous?,
Jeg kommer fre de Forenede Stater.,Combien ça coûte?,
Hvor gammel er du?,Quelle heure est-il?,
Hvor meget koster? ,Pouvez-vous m’aider?,
