,col_0,col_0_eng,col_1,col_1_eng,col_2,col_2_eng
0,Gauntlet,Gauntlet,Vær så snill,Please,Buenos días,Good Morning
1,Moped,Moped,Unnskyld meg,Excuse me,Buenas tardes,Good afternoon
2,Ombudsman,Ombudsman,Hallo,Hello,Buenas noches,Good night
3,Smorgasbord,Smorgasbord,Ha det,Good bye,¿Cómo te llamas? ,What is your name?
4,God kväll ,Good evening,Vær så god,You're welcome,Mucho gusto ,Pleasure
5,God natt ,Good night,Unnskyld meg,Excuse me,¿Cómo estás?,How are you?
6,Tack (så mycket),Thanks so much),Hvordan sier man dette på norsk?,How do you say this in Norwegian?,Yo no comprendo,I do not understand
7,"Nej, inte alls.",No not at all.,Hvor mye koster billetten?,How much does the ticket cost?,"Por favor, habla más despacio ",Please speak more slowly
8,"Ja, lite grann.",Yes some.,Flyplass,Airport,Te extraño ,Miss you
9,Jag älskar dig.,I love you.,Jernbanestasjon,Railway station,Te quiero ,I love u
10,Jag saknar dig.,I miss you.,Bonjour,Hello,What do you think?,What do you think?
11,Goddag,Good day,Au revoir ,Goodbye,That sounds great.,That sounds great.
12,Hej,Hello,Merci,Thank you,Excuse,Excuse
13,Farvel,Goodbye,Je vous en prie,You're welcome,appreciate,appreciate
14,Undskyld,Pardon,Mademoiselle,Miss,Empty_Field,Empty_Field
15,Hvad hedder du?,What's your name?,Madame,Madame,Empty_Field,Empty_Field
16,Hvorfra kommer du? ,Where are you from?,Comment vous appelez-vous?,What is your name?,Empty_Field,Empty_Field
17,Jeg kommer fre de Forenede Stater.,I'm coming to the United States.,Combien ça coûte?,How much does it cost?,Empty_Field,Empty_Field
18,Hvor gammel er du?,How old are you?,Quelle heure est-il?,What time is it?,Empty_Field,Empty_Field
19,Hvor meget koster? ,How much cost?,Pouvez-vous m’aider?,Can you help me?,Empty_Field,Empty_Field
